secs,4 12:28+3&gt;1,4 12:34+20&gt;2,4 14:24+65&gt;2,4 17:43+1&gt;2,9c+ 18:19+1&gt;13,9c+ 18:20+0&gt;6
0,NaN,NaN,0.00,NaN,NaN,NaN
1,NaN,0.00,0.00,0.00,0.00,0.00
1.5,NaN,0.00,0.00,0.00,0.00,0.00
2,NaN,0.00,0.00,0.00,0.00,0.00
2.5,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00
3.5,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00
4.5,0.00,0.00,0.00,0.00,0.00,0.00
5,NaN,0.00,0.01,0.14,0.05,0.03
5.5,0.00,0.01,0.04,0.30,0.10,0.08
6,0.00,0.03,0.07,0.56,0.17,0.17
6.5,0.04,0.04,0.10,0.79,0.23,0.28
7,0.06,0.03,0.14,0.98,0.28,0.37
7.5,0.08,-0.00,0.18,1.13,0.32,0.48
8,0.13,NaN,0.18,1.19,0.33,0.53
8.5,0.17,NaN,0.21,1.32,0.35,0.64
9,0.22,0.03,0.25,1.44,0.38,0.78
9.5,0.28,0.11,0.26,1.51,0.37,0.92
10,0.34,0.25,0.28,1.62,0.40,1.05
10.5,0.43,0.38,0.29,1.65,0.39,1.12
11,0.52,0.48,0.30,1.70,0.41,1.26
11.5,0.58,0.53,0.31,1.77,0.40,1.40
12,0.61,0.64,0.35,1.80,0.41,1.55
12.5,0.66,0.72,0.37,1.84,0.43,1.68
13,0.70,0.85,0.38,1.87,0.45,1.76
13.5,0.72,0.98,0.39,1.90,0.45,1.93
14,0.74,1.04,0.42,1.92,0.45,2.06
14.5,0.77,1.15,0.45,1.92,0.45,2.21
15,0.78,1.26,0.47,1.94,0.46,2.34
15.5,0.82,1.32,0.50,1.94,0.49,2.42
16,0.85,1.40,0.53,1.94,0.56,2.56
16.5,0.86,1.43,0.54,1.98,0.68,2.65
17,0.86,1.42,0.54,2.01,0.82,2.73
17.5,0.90,1.36,0.54,2.04,1.00,2.80
18,0.90,1.28,0.54,2.04,1.11,2.83
18.5,0.90,1.21,0.54,2.03,1.35,2.89
19,0.89,1.17,0.52,2.02,1.59,2.93
19.5,0.90,1.18,0.50,2.04,1.84,2.96
20,0.89,1.25,0.46,2.03,2.11,3.00
20.5,0.85,1.09,0.38,2.05,2.25,3.02
21,0.82,1.00,0.36,2.06,2.54,3.05
21.5,0.81,1.03,0.32,2.05,2.84,3.06
22,0.78,1.13,0.29,2.06,3.15,3.07
22.5,0.77,1.21,0.25,2.07,3.47,3.11
23,0.76,1.25,0.21,2.08,3.62,3.14
23.5,0.73,1.30,0.19,2.07,3.93,3.20
24,0.70,1.31,0.18,2.06,4.25,3.24
24.5,0.65,1.34,0.15,2.07,4.58,3.32
25,0.62,1.39,0.10,2.05,4.89,3.43
25.5,0.57,1.34,0.03,2.05,5.21,3.50
26,0.55,1.13,0.01,2.04,5.37,3.62
26.5,0.53,0.99,NaN,2.06,5.70,3.72
27,0.52,0.80,NaN,2.04,6.00,3.83
27.5,0.51,0.64,NaN,2.02,6.31,3.98
28,0.53,0.50,NaN,2.02,6.62,4.04
28.5,0.54,0.36,NaN,2.00,6.77,4.19
29,0.57,0.30,NaN,2.02,7.11,4.33
29.5,0.58,0.20,NaN,2.02,7.45,4.48
30,0.59,0.11,NaN,2.03,7.80,4.64
30.5,0.62,0.06,NaN,2.06,8.15,4.80
31,0.64,0.15,NaN,2.05,8.32,4.88
31.5,0.64,0.24,NaN,2.07,8.68,5.04
32,0.63,0.37,NaN,2.10,9.05,5.19
32.5,0.61,0.47,NaN,2.15,9.42,5.34
33,0.58,0.52,NaN,2.15,9.77,5.43
33.5,0.55,0.59,NaN,2.13,9.94,5.56
34,0.55,0.62,NaN,2.08,10.31,5.65
34.5,0.55,0.67,NaN,1.99,10.66,5.75
35,0.53,0.70,NaN,1.91,11.00,5.83
35.5,0.50,0.77,NaN,1.85,11.28,5.88
36,0.48,0.82,NaN,1.79,11.39,5.92
36.5,0.45,0.87,NaN,1.73,11.62,5.96
37,0.46,1.03,NaN,1.69,11.79,5.98
37.5,0.44,1.18,NaN,1.73,11.93,5.99
38,0.39,1.31,NaN,1.74,12.05,6.03
38.5,0.35,1.38,NaN,1.76,12.08,6.05
39,0.34,1.43,NaN,1.75,12.18,6.08
39.5,0.35,1.50,NaN,1.72,12.25,6.09
40,0.36,1.52,NaN,1.63,12.28,6.10
40.5,0.33,1.55,NaN,1.62,12.31,6.12
41,0.31,1.58,NaN,1.65,12.32,6.13
41.5,0.28,1.62,NaN,1.70,12.36,6.14
42,0.28,1.68,NaN,1.76,12.40,6.14
42.5,0.25,1.71,NaN,1.85,12.43,6.15
43,0.22,1.73,NaN,1.90,12.45,6.17
43.5,0.20,1.79,NaN,1.91,12.46,6.15
44,0.24,1.79,NaN,1.97,12.49,6.13
44.5,0.28,1.81,NaN,2.04,12.51,6.06
45,0.39,1.81,NaN,2.11,12.50,6.01
45.5,0.49,1.81,NaN,2.15,12.49,5.99
46,0.56,1.81,NaN,2.19,12.50,5.98
46.5,0.60,1.81,NaN,2.20,12.51,5.98
47,0.60,1.76,0.03,2.20,12.52,5.98
47.5,0.65,1.76,0.15,2.19,12.52,5.97
48,0.70,1.74,0.32,2.16,12.52,5.96
48.5,0.74,1.74,0.40,2.14,12.50,5.94
49,0.76,1.74,0.57,2.12,12.50,5.92
49.5,0.78,1.70,0.68,2.06,12.48,5.93
50,0.82,1.67,0.76,2.00,12.48,5.94
50.5,0.87,1.66,0.80,1.91,12.48,5.90
51,0.85,1.64,0.81,1.88,12.46,5.82
51.5,0.83,1.63,0.84,1.83,12.46,5.74
